10, ['Title: The King James Bible\r'], 
11, ["Title: Alice's Adventures in Wonderland\r"], 
12, ['Title: Through the Looking-Glass\r'], 
13, ['Title: The Hunting of the Snark\r'], 
14, ['Title: The 1990 CIA World Factbook\r'], 
15, ['Title: Moby Dick\r'], 
16, ['Title: Peter Pan\r'], 
17, ['Title: The Book Of Mormon\r'], 
18, ['Title: The Federalist Papers\r'], 
19, ['Title: The Song Of Hiawatha\r'], 
20, ['Title: Paradise Lost\r'], 
